open;close;high;low;value;volume;begin;end
20466;20469;20474;20465;0;308;2019-03-11 10:35:00;2019-03-11 10:35:59
20466;20450;20467;20450;0;1022;2019-03-11 10:36:00;2019-03-11 10:36:59
20451;20431;20453;20431;0;1124;2019-03-11 10:37:00;2019-03-11 10:37:59
20431;20439;20446;20428;0;678;2019-03-11 10:38:00;2019-03-11 10:38:59
20437;20451;20455;20437;0;518;2019-03-11 10:39:00;2019-03-11 10:39:59
20454;20447;20457;20447;0;293;2019-03-11 10:40:00;2019-03-11 10:40:59
20447;20434;20447;20426;0;684;2019-03-11 10:41:00;2019-03-11 10:41:59
20433;20428;20433;20423;0;381;2019-03-11 10:42:00;2019-03-11 10:42:59
20430;20434;20437;20428;0;190;2019-03-11 10:43:00;2019-03-11 10:43:59
20432;20436;20441;20432;0;229;2019-03-11 10:44:00;2019-03-11 10:44:59
20433;20442;20447;20433;0;609;2019-03-11 10:45:00;2019-03-11 10:45:59
20445;20445;20445;20437;0;527;2019-03-11 10:46:00;2019-03-11 10:46:59
20444;20452;20457;20443;0;1009;2019-03-11 10:47:00;2019-03-11 10:47:59
20452;20448;20457;20446;0;1252;2019-03-11 10:48:00;2019-03-11 10:48:59
20448;20440;20449;20437;0;363;2019-03-11 10:49:00;2019-03-11 10:49:59
20440;20445;20447;20438;0;272;2019-03-11 10:50:00;2019-03-11 10:50:59
20445;20441;20445;20441;0;194;2019-03-11 10:51:00;2019-03-11 10:51:59
20440;20464;20471;20439;0;1765;2019-03-11 10:52:00;2019-03-11 10:52:59
20464;20457;20473;20456;0;404;2019-03-11 10:53:00;2019-03-11 10:53:59
20459;20460;20467;20458;0;741;2019-03-11 10:54:00;2019-03-11 10:54:59
20460;20478;20478;20459;0;771;2019-03-11 10:55:00;2019-03-11 10:55:59
20476;20461;20477;20457;0;548;2019-03-11 10:56:00;2019-03-11 10:56:59
20462;20466;20468;20460;0;455;2019-03-11 10:57:00;2019-03-11 10:57:59
20468;20470;20474;20461;0;348;2019-03-11 10:58:00;2019-03-11 10:58:59
20469;20466;20478;20465;0;863;2019-03-11 10:59:00;2019-03-11 10:59:59
20466;20431;20472;20424;0;4286;2019-03-11 11:00:00;2019-03-11 11:00:59
20430;20415;20439;20415;0;3084;2019-03-11 11:01:00;2019-03-11 11:01:59
20415;20424;20429;20400;0;2068;2019-03-11 11:02:00;2019-03-11 11:02:59
20425;20412;20428;20412;0;815;2019-03-11 11:03:00;2019-03-11 11:03:59
20411;20404;20418;20404;0;789;2019-03-11 11:04:00;2019-03-11 11:04:59
20405;20428;20430;20404;0;959;2019-03-11 11:05:00;2019-03-11 11:05:59
20426;20421;20427;20419;0;495;2019-03-11 11:06:00;2019-03-11 11:06:59
20419;20427;20432;20419;0;723;2019-03-11 11:07:00;2019-03-11 11:07:59
20430;20414;20431;20413;0;418;2019-03-11 11:08:00;2019-03-11 11:08:59
20412;20388;20417;20384;0;2294;2019-03-11 11:09:00;2019-03-11 11:09:59
20390;20383;20391;20364;0;3549;2019-03-11 11:10:00;2019-03-11 11:10:59
20383;20398;20401;20379;0;1256;2019-03-11 11:11:00;2019-03-11 11:11:59
20399;20376;20399;20366;0;1534;2019-03-11 11:12:00;2019-03-11 11:12:59
20374;20396;20396;20374;0;1425;2019-03-11 11:13:00;2019-03-11 11:13:59
20397;20394;20398;20387;0;427;2019-03-11 11:14:00;2019-03-11 11:14:59
20394;20375;20398;20375;0;1050;2019-03-11 11:15:00;2019-03-11 11:15:59
20375;20393;20400;20372;0;968;2019-03-11 11:16:00;2019-03-11 11:16:59
20396;20439;20440;20396;0;1787;2019-03-11 11:17:00;2019-03-11 11:17:59
20438;20417;20447;20417;0;1066;2019-03-11 11:18:00;2019-03-11 11:18:59
20417;20417;20432;20415;0;546;2019-03-11 11:19:00;2019-03-11 11:19:59
20417;20415;20420;20411;0;479;2019-03-11 11:20:00;2019-03-11 11:20:59
20416;20421;20427;20411;0;360;2019-03-11 11:21:00;2019-03-11 11:21:59
20421;20409;20425;20409;0;352;2019-03-11 11:22:00;2019-03-11 11:22:59
20415;20408;20419;20408;0;117;2019-03-11 11:23:00;2019-03-11 11:23:59
20408;20408;20415;20405;0;248;2019-03-11 11:24:00;2019-03-11 11:24:59
20408;20407;20412;20401;0;372;2019-03-11 11:25:00;2019-03-11 11:25:59
20405;20408;20410;20401;0;103;2019-03-11 11:26:00;2019-03-11 11:26:59
20409;20405;20409;20401;0;98;2019-03-11 11:27:00;2019-03-11 11:27:59
20405;20408;20408;20404;0;110;2019-03-11 11:28:00;2019-03-11 11:28:59
20408;20433;20435;20407;0;942;2019-03-11 11:29:00;2019-03-11 11:29:59
20433;20418;20441;20412;0;480;2019-03-11 11:30:00;2019-03-11 11:30:59
20420;20401;20420;20401;0;247;2019-03-11 11:31:00;2019-03-11 11:31:59
20402;20402;20410;20401;0;339;2019-03-11 11:32:00;2019-03-11 11:32:59
20401;20411;20413;20401;0;240;2019-03-11 11:33:00;2019-03-11 11:33:59
20411;20417;20421;20407;0;248;2019-03-11 11:34:00;2019-03-11 11:34:59
20417;20424;20427;20414;0;112;2019-03-11 11:35:00;2019-03-11 11:35:59
20427;20435;20440;20422;0;784;2019-03-11 11:36:00;2019-03-11 11:36:59
20439;20449;20449;20429;0;874;2019-03-11 11:37:00;2019-03-11 11:37:59
20449;20449;20459;20444;0;955;2019-03-11 11:38:00;2019-03-11 11:38:59
20450;20435;20454;20432;0;657;2019-03-11 11:39:00;2019-03-11 11:39:59
20434;20437;20441;20434;0;331;2019-03-11 11:40:00;2019-03-11 11:40:59
20435;20428;20437;20424;0;332;2019-03-11 11:41:00;2019-03-11 11:41:59
20432;20438;20445;20432;0;1074;2019-03-11 11:42:00;2019-03-11 11:42:59
20438;20435;20450;20435;0;356;2019-03-11 11:43:00;2019-03-11 11:43:59
20435;20420;20435;20420;0;404;2019-03-11 11:44:00;2019-03-11 11:44:59
20420;20417;20430;20414;0;568;2019-03-11 11:45:00;2019-03-11 11:45:59
20420;20427;20432;20416;0;214;2019-03-11 11:46:00;2019-03-11 11:46:59
20426;20428;20428;20415;0;119;2019-03-11 11:47:00;2019-03-11 11:47:59
20424;20429;20429;20420;0;127;2019-03-11 11:48:00;2019-03-11 11:48:59
20429;20434;20439;20429;0;235;2019-03-11 11:49:00;2019-03-11 11:49:59
20431;20435;20435;20429;0;130;2019-03-11 11:50:00;2019-03-11 11:50:59
20434;20429;20436;20426;0;53;2019-03-11 11:51:00;2019-03-11 11:51:59
20428;20429;20430;20423;0;90;2019-03-11 11:52:00;2019-03-11 11:52:59
20428;20421;20437;20420;0;233;2019-03-11 11:53:00;2019-03-11 11:53:59
20420;20415;20421;20413;0;516;2019-03-11 11:54:00;2019-03-11 11:54:59
20414;20410;20419;20407;0;442;2019-03-11 11:55:00;2019-03-11 11:55:59
20410;20415;20415;20408;0;91;2019-03-11 11:56:00;2019-03-11 11:56:59
20411;20402;20413;20395;0;975;2019-03-11 11:57:00;2019-03-11 11:57:59
20402;20411;20411;20387;0;1521;2019-03-11 11:58:00;2019-03-11 11:58:59
