open;close;high;low;value;volume;begin;end
20497;20498;20501;20489;0;352;2019-03-13 15:51:00;2019-03-13 15:51:59
20497;20497;20499;20494;0;20;2019-03-13 15:52:00;2019-03-13 15:52:59
20497;20501;20504;20497;0;130;2019-03-13 15:53:00;2019-03-13 15:53:59
20502;20500;20502;20495;0;200;2019-03-13 15:54:00;2019-03-13 15:54:59
20500;20485;20504;20485;0;503;2019-03-13 15:55:00;2019-03-13 15:55:59
20485;20489;20493;20485;0;432;2019-03-13 15:56:00;2019-03-13 15:56:59
20488;20490;20491;20487;0;133;2019-03-13 15:57:00;2019-03-13 15:57:59
20490;20491;20494;20489;0;605;2019-03-13 15:58:00;2019-03-13 15:58:59
20491;20490;20499;20490;0;1126;2019-03-13 15:59:00;2019-03-13 15:59:59
20490;20501;20501;20489;0;1042;2019-03-13 16:00:00;2019-03-13 16:00:59
20500;20497;20501;20496;0;288;2019-03-13 16:01:00;2019-03-13 16:01:59
20496;20499;20501;20492;0;157;2019-03-13 16:02:00;2019-03-13 16:02:59
20501;20499;20502;20498;0;130;2019-03-13 16:03:00;2019-03-13 16:03:59
20498;20491;20499;20491;0;150;2019-03-13 16:04:00;2019-03-13 16:04:59
20491;20498;20500;20491;0;447;2019-03-13 16:05:00;2019-03-13 16:05:59
20500;20499;20508;20499;0;384;2019-03-13 16:06:00;2019-03-13 16:06:59
20500;20494;20500;20493;0;215;2019-03-13 16:07:00;2019-03-13 16:07:59
20496;20496;20501;20491;0;324;2019-03-13 16:08:00;2019-03-13 16:08:59
20495;20490;20496;20489;0;212;2019-03-13 16:09:00;2019-03-13 16:09:59
20491;20493;20495;20489;0;264;2019-03-13 16:10:00;2019-03-13 16:10:59
20494;20493;20497;20490;0;341;2019-03-13 16:11:00;2019-03-13 16:11:59
20491;20492;20497;20487;0;616;2019-03-13 16:12:00;2019-03-13 16:12:59
20492;20493;20494;20488;0;192;2019-03-13 16:13:00;2019-03-13 16:13:59
20491;20490;20492;20487;0;340;2019-03-13 16:14:00;2019-03-13 16:14:59
20490;20494;20496;20490;0;218;2019-03-13 16:15:00;2019-03-13 16:15:59
20493;20488;20494;20486;0;381;2019-03-13 16:16:00;2019-03-13 16:16:59
20489;20493;20495;20489;0;158;2019-03-13 16:17:00;2019-03-13 16:17:59
20489;20496;20496;20488;0;334;2019-03-13 16:18:00;2019-03-13 16:18:59
20497;20496;20499;20495;0;86;2019-03-13 16:19:00;2019-03-13 16:19:59
20496;20494;20496;20492;0;236;2019-03-13 16:20:00;2019-03-13 16:20:59
20492;20499;20500;20492;0;77;2019-03-13 16:21:00;2019-03-13 16:21:59
20499;20512;20512;20496;0;1681;2019-03-13 16:22:00;2019-03-13 16:22:59
20512;20502;20524;20501;0;1740;2019-03-13 16:23:00;2019-03-13 16:23:59
20502;20502;20508;20500;0;522;2019-03-13 16:24:00;2019-03-13 16:24:59
20500;20503;20506;20499;0;368;2019-03-13 16:25:00;2019-03-13 16:25:59
20504;20499;20508;20499;0;275;2019-03-13 16:26:00;2019-03-13 16:26:59
20500;20502;20505;20499;0;191;2019-03-13 16:27:00;2019-03-13 16:27:59
20502;20501;20505;20501;0;219;2019-03-13 16:28:00;2019-03-13 16:28:59
20503;20513;20516;20503;0;1010;2019-03-13 16:29:00;2019-03-13 16:29:59
20513;20544;20570;20511;0;10246;2019-03-13 16:30:00;2019-03-13 16:30:59
20543;20555;20560;20543;0;1882;2019-03-13 16:31:00;2019-03-13 16:31:59
20552;20541;20558;20541;0;487;2019-03-13 16:32:00;2019-03-13 16:32:59
20544;20539;20546;20539;0;657;2019-03-13 16:33:00;2019-03-13 16:33:59
20539;20535;20546;20535;0;859;2019-03-13 16:34:00;2019-03-13 16:34:59
20536;20538;20542;20535;0;486;2019-03-13 16:35:00;2019-03-13 16:35:59
20541;20539;20544;20535;0;651;2019-03-13 16:36:00;2019-03-13 16:36:59
20543;20543;20550;20538;0;769;2019-03-13 16:37:00;2019-03-13 16:37:59
20546;20545;20550;20541;0;723;2019-03-13 16:38:00;2019-03-13 16:38:59
20545;20536;20550;20535;0;831;2019-03-13 16:39:00;2019-03-13 16:39:59
20537;20533;20541;20533;0;497;2019-03-13 16:40:00;2019-03-13 16:40:59
20536;20540;20540;20533;0;232;2019-03-13 16:41:00;2019-03-13 16:41:59
20541;20536;20544;20534;0;1204;2019-03-13 16:42:00;2019-03-13 16:42:59
20537;20533;20541;20533;0;408;2019-03-13 16:43:00;2019-03-13 16:43:59
20535;20540;20540;20532;0;2056;2019-03-13 16:44:00;2019-03-13 16:44:59
20540;20551;20563;20540;0;2055;2019-03-13 16:45:00;2019-03-13 16:45:59
20551;20545;20555;20544;0;332;2019-03-13 16:46:00;2019-03-13 16:46:59
20547;20551;20556;20545;0;282;2019-03-13 16:47:00;2019-03-13 16:47:59
20551;20557;20557;20549;0;142;2019-03-13 16:48:00;2019-03-13 16:48:59
20555;20557;20565;20552;0;1493;2019-03-13 16:49:00;2019-03-13 16:49:59
20555;20556;20563;20555;0;412;2019-03-13 16:50:00;2019-03-13 16:50:59
20557;20557;20563;20553;0;693;2019-03-13 16:51:00;2019-03-13 16:51:59
20555;20563;20565;20555;0;231;2019-03-13 16:52:00;2019-03-13 16:52:59
20561;20565;20567;20558;0;897;2019-03-13 16:53:00;2019-03-13 16:53:59
20565;20574;20583;20561;0;3716;2019-03-13 16:54:00;2019-03-13 16:54:59
20572;20573;20583;20571;0;1863;2019-03-13 16:55:00;2019-03-13 16:55:59
20574;20564;20576;20564;0;1316;2019-03-13 16:56:00;2019-03-13 16:56:59
20566;20540;20568;20538;0;1735;2019-03-13 16:57:00;2019-03-13 16:57:59
20541;20547;20547;20540;0;728;2019-03-13 16:58:00;2019-03-13 16:58:59
20549;20559;20563;20540;0;461;2019-03-13 16:59:00;2019-03-13 16:59:59
20561;20559;20569;20557;0;1023;2019-03-13 17:00:00;2019-03-13 17:00:59
20562;20567;20571;20562;0;515;2019-03-13 17:01:00;2019-03-13 17:01:59
20567;20570;20573;20563;0;285;2019-03-13 17:02:00;2019-03-13 17:02:59
20570;20577;20596;20570;0;2600;2019-03-13 17:03:00;2019-03-13 17:03:59
20578;20586;20587;20578;0;268;2019-03-13 17:04:00;2019-03-13 17:04:59
20586;20590;20594;20586;0;1338;2019-03-13 17:05:00;2019-03-13 17:05:59
20589;20586;20594;20586;0;1572;2019-03-13 17:06:00;2019-03-13 17:06:59
20588;20592;20595;20586;0;532;2019-03-13 17:07:00;2019-03-13 17:07:59
20591;20593;20595;20589;0;354;2019-03-13 17:08:00;2019-03-13 17:08:59
20593;20595;20596;20582;0;848;2019-03-13 17:09:00;2019-03-13 17:09:59
20596;20596;20597;20591;0;1248;2019-03-13 17:10:00;2019-03-13 17:10:59
20593;20595;20600;20587;0;1286;2019-03-13 17:11:00;2019-03-13 17:11:59
20598;20600;20605;20594;0;1309;2019-03-13 17:12:00;2019-03-13 17:12:59
20600;20594;20604;20591;0;1069;2019-03-13 17:13:00;2019-03-13 17:13:59
20592;20600;20601;20586;0;1245;2019-03-13 17:14:00;2019-03-13 17:14:59
20597;20615;20615;20597;0;1505;2019-03-13 17:15:00;2019-03-13 17:15:59
20613;20622;20627;20612;0;2366;2019-03-13 17:16:00;2019-03-13 17:16:59
20621;20631;20635;20621;0;1953;2019-03-13 17:17:00;2019-03-13 17:17:59
20631;20625;20634;20617;0;2451;2019-03-13 17:18:00;2019-03-13 17:18:59
20625;20623;20629;20622;0;482;2019-03-13 17:19:00;2019-03-13 17:19:59
20623;20628;20636;20623;0;1638;2019-03-13 17:20:00;2019-03-13 17:20:59
20626;20619;20630;20616;0;1290;2019-03-13 17:21:00;2019-03-13 17:21:59
20619;20602;20619;20599;0;2107;2019-03-13 17:22:00;2019-03-13 17:22:59
20601;20599;20601;20596;0;613;2019-03-13 17:23:00;2019-03-13 17:23:59
20599;20592;20599;20592;0;710;2019-03-13 17:24:00;2019-03-13 17:24:59
20595;20612;20615;20590;0;980;2019-03-13 17:25:00;2019-03-13 17:25:59
20612;20609;20612;20606;0;231;2019-03-13 17:26:00;2019-03-13 17:26:59
20609;20596;20609;20596;0;321;2019-03-13 17:27:00;2019-03-13 17:27:59
20599;20602;20605;20596;0;683;2019-03-13 17:28:00;2019-03-13 17:28:59
20602;20604;20607;20602;0;915;2019-03-13 17:29:00;2019-03-13 17:29:59
20603;20608;20620;20603;0;1197;2019-03-13 17:30:00;2019-03-13 17:30:59
20610;20604;20615;20604;0;295;2019-03-13 17:31:00;2019-03-13 17:31:59
20605;20610;20621;20605;0;1269;2019-03-13 17:32:00;2019-03-13 17:32:59
20610;20610;20613;20604;0;389;2019-03-13 17:33:00;2019-03-13 17:33:59
20612;20603;20614;20595;0;779;2019-03-13 17:34:00;2019-03-13 17:34:59
20603;20602;20610;20601;0;341;2019-03-13 17:35:00;2019-03-13 17:35:59
20601;20605;20607;20601;0;55;2019-03-13 17:36:00;2019-03-13 17:36:59
20603;20605;20606;20598;0;245;2019-03-13 17:37:00;2019-03-13 17:37:59
20603;20609;20609;20602;0;137;2019-03-13 17:38:00;2019-03-13 17:38:59
20607;20608;20611;20601;0;192;2019-03-13 17:39:00;2019-03-13 17:39:59
20608;20606;20611;20604;0;307;2019-03-13 17:40:00;2019-03-13 17:40:59
20605;20605;20612;20604;0;233;2019-03-13 17:41:00;2019-03-13 17:41:59
20609;20606;20612;20605;0;271;2019-03-13 17:42:00;2019-03-13 17:42:59
20605;20607;20611;20605;0;178;2019-03-13 17:43:00;2019-03-13 17:43:59
20609;20605;20610;20605;0;428;2019-03-13 17:44:00;2019-03-13 17:44:59
20605;20611;20615;20605;0;437;2019-03-13 17:45:00;2019-03-13 17:45:59
20610;20608;20613;20606;0;436;2019-03-13 17:46:00;2019-03-13 17:46:59
20606;20610;20610;20604;0;575;2019-03-13 17:47:00;2019-03-13 17:47:59
20610;20605;20610;20605;0;50;2019-03-13 17:48:00;2019-03-13 17:48:59
20606;20604;20608;20604;0;195;2019-03-13 17:49:00;2019-03-13 17:49:59
20605;20615;20615;20605;0;519;2019-03-13 17:50:00;2019-03-13 17:50:59
20616;20619;20629;20615;0;1302;2019-03-13 17:51:00;2019-03-13 17:51:59
20620;20620;20622;20613;0;283;2019-03-13 17:52:00;2019-03-13 17:52:59
20620;20614;20620;20614;0;333;2019-03-13 17:53:00;2019-03-13 17:53:59
20614;20616;20623;20613;0;347;2019-03-13 17:54:00;2019-03-13 17:54:59
20617;20599;20623;20599;0;853;2019-03-13 17:55:00;2019-03-13 17:55:59
20599;20594;20606;20591;0;768;2019-03-13 17:56:00;2019-03-13 17:56:59
20595;20588;20598;20581;0;801;2019-03-13 17:57:00;2019-03-13 17:57:59
20588;20586;20590;20584;0;501;2019-03-13 17:58:00;2019-03-13 17:58:59
20589;20593;20596;20589;0;418;2019-03-13 17:59:00;2019-03-13 17:59:59
20594;20592;20604;20588;0;1533;2019-03-13 18:00:00;2019-03-13 18:00:59
20596;20610;20610;20596;0;404;2019-03-13 18:01:00;2019-03-13 18:01:59
20609;20614;20615;20605;0;408;2019-03-13 18:02:00;2019-03-13 18:02:59
20611;20604;20614;20604;0;380;2019-03-13 18:03:00;2019-03-13 18:03:59
20606;20598;20606;20596;0;405;2019-03-13 18:04:00;2019-03-13 18:04:59
20601;20600;20606;20597;0;561;2019-03-13 18:05:00;2019-03-13 18:05:59
20599;20592;20600;20592;0;131;2019-03-13 18:06:00;2019-03-13 18:06:59
20594;20600;20602;20594;0;336;2019-03-13 18:07:00;2019-03-13 18:07:59
20602;20606;20609;20599;0;475;2019-03-13 18:08:00;2019-03-13 18:08:59
20606;20604;20606;20601;0;136;2019-03-13 18:09:00;2019-03-13 18:09:59
20601;20595;20615;20592;0;809;2019-03-13 18:10:00;2019-03-13 18:10:59
20597;20600;20604;20596;0;193;2019-03-13 18:11:00;2019-03-13 18:11:59
20600;20596;20602;20594;0;150;2019-03-13 18:12:00;2019-03-13 18:12:59
20595;20597;20600;20594;0;80;2019-03-13 18:13:00;2019-03-13 18:13:59
20598;20599;20600;20594;0;475;2019-03-13 18:14:00;2019-03-13 18:14:59
20598;20598;20599;20594;0;265;2019-03-13 18:15:00;2019-03-13 18:15:59
20596;20601;20602;20595;0;409;2019-03-13 18:16:00;2019-03-13 18:16:59
20598;20597;20600;20597;0;38;2019-03-13 18:17:00;2019-03-13 18:17:59
20599;20597;20600;20592;0;329;2019-03-13 18:18:00;2019-03-13 18:18:59
20597;20591;20597;20590;0;245;2019-03-13 18:19:00;2019-03-13 18:19:59
20590;20594;20594;20590;0;174;2019-03-13 18:20:00;2019-03-13 18:20:59
20593;20593;20595;20592;0;318;2019-03-13 18:21:00;2019-03-13 18:21:59
20595;20600;20602;20595;0;441;2019-03-13 18:22:00;2019-03-13 18:22:59
20600;20598;20603;20596;0;335;2019-03-13 18:23:00;2019-03-13 18:23:59
20596;20600;20601;20596;0;39;2019-03-13 18:24:00;2019-03-13 18:24:59
20601;20607;20609;20598;0;637;2019-03-13 18:25:00;2019-03-13 18:25:59
20606;20605;20608;20598;0;514;2019-03-13 18:26:00;2019-03-13 18:26:59
20605;20609;20614;20605;0;122;2019-03-13 18:27:00;2019-03-13 18:27:59
20612;20611;20613;20609;0;123;2019-03-13 18:28:00;2019-03-13 18:28:59
20613;20605;20617;20600;0;699;2019-03-13 18:29:00;2019-03-13 18:29:59
20605;20604;20611;20603;0;184;2019-03-13 18:30:00;2019-03-13 18:30:59
20602;20600;20607;20597;0;445;2019-03-13 18:31:00;2019-03-13 18:31:59
20600;20604;20612;20598;0;313;2019-03-13 18:32:00;2019-03-13 18:32:59
20607;20608;20616;20606;0;377;2019-03-13 18:33:00;2019-03-13 18:33:59
20610;20607;20611;20602;0;332;2019-03-13 18:34:00;2019-03-13 18:34:59
20605;20603;20613;20601;0;624;2019-03-13 18:35:00;2019-03-13 18:35:59
20603;20608;20611;20602;0;612;2019-03-13 18:36:00;2019-03-13 18:36:59
20608;20610;20614;20608;0;217;2019-03-13 18:37:00;2019-03-13 18:37:59
20610;20617;20619;20609;0;829;2019-03-13 18:38:00;2019-03-13 18:38:59
20617;20627;20631;20616;0;1288;2019-03-13 18:39:00;2019-03-13 18:39:59
20626;20632;20645;20626;0;2740;2019-03-13 18:40:00;2019-03-13 18:40:59
20631;20632;20639;20628;0;330;2019-03-13 18:41:00;2019-03-13 18:41:59
20632;20625;20634;20625;0;519;2019-03-13 18:42:00;2019-03-13 18:42:59
20627;20623;20629;20621;0;219;2019-03-13 18:43:00;2019-03-13 18:43:59
20623;20640;20648;20620;0;1491;2019-03-13 18:44:00;2019-03-13 18:44:59
20650;20672;20693;20618;0;4024;2019-03-13 19:00:00;2019-03-13 19:00:59
20669;20671;20673;20660;0;557;2019-03-13 19:01:00;2019-03-13 19:01:59
20673;20647;20673;20640;0;1267;2019-03-13 19:02:00;2019-03-13 19:02:59
20643;20635;20646;20621;0;586;2019-03-13 19:03:00;2019-03-13 19:03:59
20635;20629;20640;20625;0;318;2019-03-13 19:04:00;2019-03-13 19:04:59
20628;20613;20630;20606;0;848;2019-03-13 19:05:00;2019-03-13 19:05:59
20613;20609;20616;20608;0;453;2019-03-13 19:06:00;2019-03-13 19:06:59
20610;20613;20615;20606;0;140;2019-03-13 19:07:00;2019-03-13 19:07:59
20615;20605;20615;20601;0;379;2019-03-13 19:08:00;2019-03-13 19:08:59
20605;20603;20605;20601;0;195;2019-03-13 19:09:00;2019-03-13 19:09:59
20603;20597;20610;20594;0;658;2019-03-13 19:10:00;2019-03-13 19:10:59
20594;20591;20596;20587;0;382;2019-03-13 19:11:00;2019-03-13 19:11:59
20591;20587;20595;20585;0;404;2019-03-13 19:12:00;2019-03-13 19:12:59
20587;20591;20596;20586;0;180;2019-03-13 19:13:00;2019-03-13 19:13:59
20589;20588;20590;20585;0;181;2019-03-13 19:14:00;2019-03-13 19:14:59
20586;20592;20595;20585;0;612;2019-03-13 19:15:00;2019-03-13 19:15:59
20594;20595;20599;20590;0;148;2019-03-13 19:16:00;2019-03-13 19:16:59
20595;20605;20606;20595;0;310;2019-03-13 19:17:00;2019-03-13 19:17:59
20605;20596;20606;20596;0;204;2019-03-13 19:18:00;2019-03-13 19:18:59
20596;20597;20599;20594;0;101;2019-03-13 19:19:00;2019-03-13 19:19:59
20596;20588;20596;20587;0;225;2019-03-13 19:20:00;2019-03-13 19:20:59
20590;20585;20592;20584;0;315;2019-03-13 19:21:00;2019-03-13 19:21:59
20586;20590;20593;20583;0;219;2019-03-13 19:22:00;2019-03-13 19:22:59
20588;20586;20590;20585;0;91;2019-03-13 19:23:00;2019-03-13 19:23:59
20588;20587;20589;20584;0;46;2019-03-13 19:24:00;2019-03-13 19:24:59
20586;20585;20587;20582;0;280;2019-03-13 19:25:00;2019-03-13 19:25:59
20583;20563;20585;20563;0;1294;2019-03-13 19:26:00;2019-03-13 19:26:59
20564;20558;20564;20558;0;494;2019-03-13 19:27:00;2019-03-13 19:27:59
20558;20558;20560;20558;0;168;2019-03-13 19:28:00;2019-03-13 19:28:59
20558;20551;20560;20550;0;972;2019-03-13 19:29:00;2019-03-13 19:29:59
20550;20556;20563;20548;0;762;2019-03-13 19:30:00;2019-03-13 19:30:59
20556;20572;20572;20556;0;409;2019-03-13 19:31:00;2019-03-13 19:31:59
20571;20570;20571;20566;0;202;2019-03-13 19:32:00;2019-03-13 19:32:59
20568;20567;20570;20566;0;109;2019-03-13 19:33:00;2019-03-13 19:33:59
20568;20575;20576;20568;0;202;2019-03-13 19:34:00;2019-03-13 19:34:59
20576;20532;20583;20530;0;2438;2019-03-13 19:35:00;2019-03-13 19:35:59
20535;20538;20550;20527;0;887;2019-03-13 19:36:00;2019-03-13 19:36:59
20538;20544;20544;20529;0;613;2019-03-13 19:37:00;2019-03-13 19:37:59
20544;20538;20550;20535;0;694;2019-03-13 19:38:00;2019-03-13 19:38:59
20539;20539;20556;20537;0;907;2019-03-13 19:39:00;2019-03-13 19:39:59
20541;20540;20547;20537;0;850;2019-03-13 19:40:00;2019-03-13 19:40:59
20540;20537;20542;20535;0;215;2019-03-13 19:41:00;2019-03-13 19:41:59
20535;20539;20545;20535;0;376;2019-03-13 19:42:00;2019-03-13 19:42:59
